content,score,label,word_count,clean_text
Bagus banget bisa bantuin kerjain pr aku,5,Positif,7,bagus banget bantuin kerjain pr
Ruangguru itu aplikasi nya bagus cmn saya kadang sering ikut kuis di akhir video setelah semua saya kerjakan tetapi nilai nya gk muncul,5,Positif,23,bagus cmn kadang kuis video kerja nilai gk muncul
"aplikasi ini sangat membantu dalam belajar, dari nilai saya yang rata rata nya sekitar 80an, nilai saya jadi bisa meningkat, terima kasih ruang guruu👍👍👍",5,Positif,24,bantu ajar nilai an nilai tingkat terima kasih ruang guruu
gk guna mending les privat,1,Negatif,5,gk mending les privat
Maaf ya saya kasi bintang tiga dulu karena kalau matematika susah dan tidak ngerti sama penjelasannya yang lain ok bhs.indonesia👌ips 👌ipa 👌matematika kurang paham jadi tolong di perjelas ya,2,Negatif,29,maaf kasi bintang matematika susah ngerti jelas ok bhsindonesiaips ipa matematika paham tolong jelas
"Banyak pembahasan kuis yang nggak sinkron dengan materi/tentor, jadi bikin bingung :((",4,Positif,12,bahas kuis nggak sinkron materitentor bikin bingung
😈😈😈😈😈😈😈😈knp si berkali2 di Download tetap aja nggak bisa Padahal suda di dihapus aplikasi sebagian,2,Negatif,15,knp si kali download nggak suda hapus
Di ruang guru ini bisa belajar dengan giat saya suka dengan ruang guru!...,5,Positif,13,ruang guru ajar giat suka ruang guru
Belajar nya cepat dan mudah thanks ruang guru,5,Positif,8,ajar cepat mudah thanks ruang guru
"Robo tukang scam, dan balikin kepercayaan gw tod",1,Negatif,8,robo tukang scam balikin percaya gw tod
Iklan terooosssssss...baru gajian dpt proyek gede..,1,Negatif,6,iklan terooosssssssbaru gaji dpt proyek gede
Karna aplikasi ini buat belajar sampe kita lulus nih karna ada manfaatnya jangan sampe lupa,5,Positif,15,karna ajar sampe lulus nih karna manfaat sampe lupa
aplikasi ini sangat membantu dalam proses belajar mengajar yang baik untuk anak anak Indonesia terima kasih telah membuat aplikasi ini anak saya sangat senang sekali bisa belajar di ruang guru belajar ingat ruang guru,5,Positif,34,bantu proses ajar ajar anak anak indonesia terima kasih anak senang ajar ruang guru ajar ruang guru
Ruangguru is the best. Tapi sayang waktu ngerjain soal2 yg bergambar.. Gambarnya tidak bisa muncul.,5,Positif,15,is the best sayang ngerjain gambar gambar muncul
Terimakasih Ruangguru akhirnya aq dapat juga juara baru beberapa bulan aq menggunakannya langsung dapat juara 2,5,Positif,16,terimakasih aq juara aq guna langsung juara
Bagus untuk belajar dan menghemat waktu saat belajar,5,Positif,8,bagus ajar hemat ajar
"Jancuk,  harus beli koin dulu,  buang buang kuota saja",1,Negatif,9,jancuk beli koin buang buang kuota
"Roboguru nya error gak jelas, mosok Robo guru nya bilang""saya belum bisa jawab sekarang"".......... Terus soal yang saya kasih roboguru jawab nya nggak nyambung....... Itu kenapa , kok gak bisa di jawab langsung, terus mau di jawab kapannnnnn??????? Saya butuh nya hari itu juga untuk ngerjain pr, ntar kalo dah benar saya kasih bintang 5 beneran janji deh",1,Negatif,58,roboguru error gak mosok robo guru bilangsaya kasih roboguru nggak nyambung gak langsung kapannnnnn butuh ngerjain pr ntar kalo dah kasih bintang beneran janji deh
blajar kok diruang guru blajar tu diruang kelas kalo diruang guru remedial! wkwk,1,Negatif,13,blajar ruang guru blajar tu ruang kelas kalo ruang guru remedial wkwk
tolong jangan neror gw lewat telepon,2,Negatif,6,tolong neror gw telepon
